"","x"
"1",118
"2",176
"3",223
"4",341
"5",417
"6",584
"7",778
"8",1053
"9",1315
"10",1922
"11",2450
"12",3173
"13",4019
"14",5723
"15",6336.68827930175
"16",6857.60972568579
"17",7473.67664172901
"18",8048.11741479634
"19",8484.59725685786
"20",8779.54821280133
"21",8935.34891936825
"22",9223.16396508728
"23",9358.74625935162
