"","x"
"1",118
"2",176
"3",223
"4",341
"5",417
"6",584
"7",778
"8",1053
"9",1315
"10",1922
"11",2450
"12",3173
"13",4019
"14",5038.26704062553
"15",6265.89631140574
"16",6933.3386027537
"17",8513.47577766446
"18",10324.5192928778
"19",12064.5147033826
"20",14453.5072242053
"21",16906.0331463539
"22",19114.6727859935
